Province,University,Program,International tuition,Domestic tuition,Minimum average,Length Of Program,Program Language,TOEFL Score,Rank,Notes,Longitude,Latitude,URL
Saskatchewan,University of Regina,Software Systems Engineering,10945,4060,70-89,5 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Kinesiology,10357,3787,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Health Studies,10357,3787,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Kinesiology and Health Studies,10357,3787,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Sport and Recreation Studies,10357,3787,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina,Therapeutic Recreation,10357,3787,70,4 years,English,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina (La Cité Univarsitaire Francophone),Arts,9790,3595,65,4 years,French,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina (La Cité Univarsitaire Francophone),French (also minor),9790,3595,65,4 years,French,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina (La Cité Univarsitaire Francophone),Baccalauréat en éducation (le Bac),10091,3709,65,4 years,French,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
Saskatchewan,University of Regina (La Cité Univarsitaire Francophone),Bachelor of Science in Nursing,10907,3999,65,4 years,French,"Internet based: 80, Paper based: 550",,Please see university website for additional tuition and admission information.,104° 35' 16.63" W,50° 24' 55.99" N,www.uregina.ca
